"TestName","Ratio","PromMedian","DefaultMedian","PromQuality","DefaultQuality"
"System.Net.Primitives.Tests.IPAddressPerformanceTests.GetAddressBytes(address: 1020:3040:5060:7080:9010:1112:1314:1516)","0.9699402093020143","6.6930749481535328","6.4918825160861058","39.215913647978958","48.333169995541986"
"System.Tests.Perf_String.CtorCharCount(size: 100)","0.96989203550587311","19.52191297466775","18.934147911969017","24.221108518580543","11.387409535306134"
"System.Memory.Slice<String>.ReadOnlySpanStartLength","0.96959207784272583","3.1843004708773353","3.0874725100335256","33.123786248235241","46.305874513558209"
"System.Collections.Sort<IntStruct>.Array_ComparerStruct(Size: 512)","0.969459051142339","31768.277333333332","30798.044000000005","101.41129224943379","34.468727584422133"
"System.Numerics.Tests.Perf_Quaternion.LengthSquaredBenchmark","0.96906249980969561","1.0353236909035266","1.0032933640191721","74.173199109801473","99.874396002257583"
"System.Memory.Constructors<Byte>.MemoryFromArray","0.96890885049679121","1.7150264981590708","1.6617043529028426","7.8835534223293875","6.3233567256039951"
"System.Numerics.Tests.Perf_Quaternion.LengthBenchmark","0.9688307026563443","1.0352417432999341","1.002973985580454","69.839218429801548","94.164089883579152"
"System.Memory.Span<Char>.Clear(Size: 33)","0.96882289177030712","5.4575709954301921","5.2874197138344323","21.332332707904314","12.811102776033378"
"System.Collections.CtorGivenSizeNonGeneric.Queue(Size: 512)","0.96860502192479736","178.73739140263197","173.12593491832743","41.407510822405577","31.966354550609097"
"System.Memory.Constructors<Byte>.ReadOnlySpanFromMemory","0.96859491183941337","1.8512531535382843","1.7931143850438505","12.920049865475232","12.851337815001763"
"System.Net.Security.Tests.SslStreamTests.ConcurrentReadWrite","0.96807737047720166","9575.3181333333323","9269.648799999999","11.588314689873839","0.33029170903625926"
"System.Collections.Tests.DictionarySequentialKeys.TryGetValue_17_Int_Int","0.96791177938477468","4.9681973511086266","4.8087767384462747","21.643266063922944","18.796181052944529"
"System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateGetPositionArray","0.967764540535567","24.189161977223588","23.409413226828192","19.01924048155481","19.01880807577173"
"System.Memory.Constructors<Byte>.SpanFromMemory","0.96744851427866863","1.8529598899149218","1.7926432925161564","9.086748485429057","15.081814745226739"
"System.Text.RegularExpressions.Tests.Perf_Regex_Industry_RustLang_Sherlock.Count(Pattern: ""aqj"", Options: NonBacktracking)","0.96740398336966571","54751.675464527019","52966.988940546631","42.219035873986343","28.890247165877334"
"System.Memory.Span<Char>.IndexOfAnyTwoValues(Size: 512)","0.96734037916387428","20.701772343775026","20.02566030839154","68.0535162657059","34.8108413330742"
"PerfLabTests.CastingPerf.AssignArrayElementByVariance","0.96730222944618449","8.10885890746737","7.8437172994577393","10.250435079250273","8.282621467932886"
"System.ConsoleTests.Perf_Console.BackgroundColor","0.9672119529832004","12816.058006535948","12395.844494047617","6.8402768073393219","6.9392542221985982"
"System.IO.MemoryMappedFiles.Tests.Perf_MemoryMappedFile.CreateFromFile_Read(capacity: 10000000)","0.96713646483945226","41970.724783415841","40591.418393782384","14.539547026769442","11.870976531451271"
"System.Text.Perf_Ascii.ToUtf16(Size: 128)","0.96679343520713956","14.982917438251379","14.485386219552005","4.8641418209860685","4.8178231017558968"
"System.Memory.Span<Char>.SequenceCompareTo(Size: 512)","0.96608216899601351","26.196311233592681","25.307789176243851","32.604268212994562","29.865456051108634"
"System.Memory.Span<Char>.Clear(Size: 4)","0.96586446582221575","3.2509225760899816","3.1399505973845314","26.437494599688261","10.136198106276238"
"System.Buffers.Tests.ReadOnlySequenceTests<Byte>.IterateTryGetTenSegments","0.96513024281213833","44.418212342022876","42.869360062937659","26.084322497392741","22.987762118854633"
"Microsoft.Extensions.Primitives.StringSegmentBenchmark.TrimEnd","0.96475057019072263","8.9383096047816366","8.6232392877542967","51.144851944128135","44.1998141890057"
"PerfLabTests.LowLevelPerf.InterfaceInterfaceMethodSwitchCallType","0.96468405539969515","810756.35416666663","782123.72767857148","66.118150759743642","51.136338376808162"
"System.Collections.CtorGivenSize<Int32>.HashSet(Size: 512)","0.96448834120760174","366.39132057161021","353.380157010975","28.765511362898955","27.304780225050802"
"System.Buffers.Text.Tests.Utf8ParserTests.TryParseBool(value: true)","0.964375126441926","2.5049509863036623","2.4157124241474217","13.920228737964516","18.753212590707243"
"System.Text.Tests.Perf_Encoding.GetEncoder(size: 512, encName: ""ascii"")","0.96399331020652446","9.29098170132509","8.9564442053286211","19.696680694975846","18.889233735057086"
"System.Tests.Perf_Random.NextBytes_span_unseeded","0.96384435024344173","175.92797243741586","169.56718228358721","80.453430925762021","64.133894775754243"
"System.Text.Json.Tests.Perf_Strings.WriteStringsUtf16(Formatted: True, SkipValidation: True, Escaped: NoneEscaped)","0.96376815833055","8437278.57142857","8131580.4301075274","31.545330629032282","30.964398233939619"
"PerfLabTests.BlockCopyPerf.CallBlockCopy(numElements: 1000)","0.96305497659134587","18.873422287392309","18.176143259183185","18.051195470833193","12.822845003783486"
"System.Memory.Span<Char>.IndexOfAnyThreeValues(Size: 4)","0.96299203332812566","4.5253754039769216","4.357900461848824","24.331235981331012","24.35116776856616"
"System.Memory.Span<Int32>.IndexOfAnyFiveValues(Size: 512)","0.96269199543246953","968.4180744373698","932.28832849298135","12.756988515558849","13.5144908041222"
"System.Numerics.Tests.Perf_Vector4.DistanceSquaredJitOptimizeCanaryBenchmark","0.962456729909721","1.0398408773305996","1.0008018504220642","53.601960833960995","89.002755348793514"
